Code_Run_Date,Bioreactor,Day,Date,IGG--STATE_SP,DAILY_NORMALIZED_FEED--INPUT_REF,IGG--STATE_DATA,VCC--STATE_DATA,VIABILITY--STATE_DATA,LACTATE--STATE_DATA,OSMO--STATE_DATA,PCO2_AT_TEMP--STATE_DATA,DAILY_NORMALIZED_FEED--INPUT_DATA,TEMPERATURE--INPUT_DATA,PH_SETPOINT--INPUT_DATA,DO--INPUT_DATA,IGG--STATE_PRED,VCC--STATE_PRED,VIABILITY--STATE_PRED,LACTATE--STATE_PRED,OSMO--STATE_PRED,PCO2_AT_TEMP--STATE_PRED,IGG--STATE_EST,VCC--STATE_EST,VIABILITY--STATE_EST,LACTATE--STATE_EST,OSMO--STATE_EST,PCO2_AT_TEMP--STATE_EST,IGG--STATE_MOD,VCC--STATE_MOD,VIABILITY--STATE_MOD,LACTATE--STATE_MOD,OSMO--STATE_MOD,PCO2_AT_TEMP--STATE_MOD
2/22/2024,17,2,,997.91,0.008,,,,,,,0.005463278,34,7.2,0.5,1600.988493,22.01983552,99.35134758,2.141024738,299.5890333,29.10581985,,,,,,,,,,,,
2/22/2024,18,2,,997.91,0.008,,,,,,,0.006205934,34,7.2,0.5,1455.416145,22.45710489,98.77290461,1.928525163,302.0376204,29.79924949,,,,,,,,,,,,
2/22/2024,19,2,,997.91,0.008,,,,,,,0.006076467,34,7.2,0.5,1552.088913,21.52286266,98.90439358,2.224742006,300.5242798,29.47895583,,,,,,,,,,,,
2/22/2024,20,2,,997.91,0.008,,,,,,,0.005604979,34,7.2,0.5,1546.902762,22.04523842,99.35008411,2.085678583,301.1105011,29.53452786,,,,,,,,,,,,
2/22/2024,21,2,,997.91,0.008,,,,,,,0.006182066,34,7.2,0.5,1563.209093,21.66287881,99.09254574,2.318425892,299.290007,29.65455976,,,,,,,,,,,,
2/22/2024,22,2,,997.91,0.008,,,,,,,0.005729824,34,7.2,0.5,1526.238254,22.7636308,98.94866909,1.981080739,300.7781648,28.91460484,,,,,,,,,,,,
2/22/2024,23,2,,997.91,0.008,,,,,,,0.006257193,34,7.2,0.5,1495.664972,22.70968039,98.58544211,1.977593122,300.5174659,29.09886229,,,,,,,,,,,,
2/22/2024,24,2,,997.91,0.008,,,,,,,0.006298353,34,7.2,0.5,1473.483549,22.5206362,98.54517489,1.994884547,301.5972596,29.25214121,,,,,,,,,,,,
2/22/2024,1,3,,1505.08,0.0105,,,,,,,0.005366261,34,7.2,0.5,2081.998829,25.38328496,97.75274643,0.769254936,302.9561521,31.31018497,,,,,,,,,,,,
2/22/2024,2,3,,1505.08,0.0105,,,,,,,0.003801413,34,7.2,0.5,2375.746541,25.32100852,99.02287452,1.151316349,300.0943518,32.55138796,,,,,,,,,,,,
2/22/2024,3,3,,1505.08,0.0105,,,,,,,0.003993437,34,7.2,0.5,2388.180065,25.18057783,99.16078207,1.391740297,299.4081096,32.85195716,,,,,,,,,,,,
2/22/2024,4,3,,1505.08,0.0105,,,,,,,0.005610347,34,7.2,0.5,2082.78425,25.12303739,97.57678767,0.977502893,303.0059127,31.03560305,,,,,,,,,,,,
2/22/2024,5,3,,1505.08,0.0105,,,,,,,0.005685272,34,7.2,0.5,2081.676172,24.9672627,97.7043219,1.111264843,302.8851842,31.19738857,,,,,,,,,,,,
