,level_0,level_1,IGG,VCC,Osmolality,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
86,AR25-050-015,11,2484.6650093474905,15.009631187130621,336.53060337203493,7.135388424130244,12.171924773663148,0.0,35.0,6.75
87,AR25-050-015,12,2948.6583157517784,14.109153541489167,337.42765684734024,6.950835988310393,13.240162012912261,0.054102795,35.0,6.75
88,AR25-050-015,13,3355.2740323645276,14.266386085550225,360.1348664913768,7.875558034862024,15.304030036978013,0.0,35.0,6.75
89,AR25-050-015,14,3634.1016969775073,12.192825723846633,361.7594290530247,7.948840929837593,17.01669863314364,0.0,35.0,6.75
90,AR25-050-016,0,71.8281,0.829,339.0,2.75,0.8200000000000001,0.0,35.0,6.75
91,AR25-050-016,1,95.07889037127858,0.9509892798736349,338.7871710009068,1.7947072280461354,0.9652334684222378,0.0,35.0,6.75
92,AR25-050-016,2,124.18183699350199,1.2593704731568283,329.8194012403176,1.6085565647026019,1.3805568827499584,0.0,35.0,6.75
93,AR25-050-016,3,187.76186026852528,1.8143862701873135,318.2375987814739,1.6797026328787066,1.954578449617848,0.0,35.0,6.75
94,AR25-050-016,4,300.0965113228262,2.5664569233983667,306.3736398104491,1.8285924205343587,2.6257725067407103,0.043450918,35.0,6.75
95,AR25-050-016,5,487.84708320907816,4.926241230633932,310.550412582377,2.8991021798194114,4.0304286205185935,0.0,35.0,6.75
96,AR25-050-016,6,738.8009013007237,6.0036759056411455,298.78264215362316,3.1224529690906384,4.902407797193161,0.042534139,35.0,6.75
97,AR25-050-016,7,1072.6679650333667,8.373504472625653,304.9482185700021,4.107869463553488,6.407986546975419,0.0,35.0,6.75
98,AR25-050-016,8,1460.2588397200275,9.160517685289772,296.92967291539486,4.187992782594706,7.3388881505085894,0.042067973,35.0,6.75
99,AR25-050-016,9,1903.406910741261,10.904138875943922,307.38705215700685,4.995509125598729,8.888637177237309,0.0,35.0,6.75
100,AR25-050-016,10,2356.394172359016,10.816944613730202,303.8604068606,4.9326628264034715,9.922251659151119,0.041614193,35.0,6.75
101,AR25-050-016,11,2806.529065086825,11.514297163501347,317.9289327114276,5.670860509311474,11.690509624316295,0.0,35.0,6.75
102,AR25-050-016,12,3197.978904228644,10.38051589184822,316.81337092352163,5.686601446548834,13.143215277129464,0.041335799,35.0,6.75
103,AR25-050-016,13,3512.6400541105236,10.173012260195867,331.3100117375815,6.6876228871448,15.585412404421973,0.0,35.0,6.75
104,AR25-050-016,14,3694.91969304821,8.459693657278573,328.64310435323694,7.197118013053341,18.020457113892174,0.0,35.0,6.75
105,AR25-050-017,0,68.0871,0.829,333.0,2.7,0.81,0.0,38.0,6.75
106,AR25-050-017,1,81.73934200751212,1.518118212695737,333.65661205638025,2.1046396733702073,1.19872133518996,0.0,38.0,6.75
107,AR25-050-017,2,116.52934615524283,2.4139306606778432,326.8956043966788,2.1748818199818243,1.8076272729320413,0.0,38.0,6.75
108,AR25-050-017,3,198.51017301103585,3.5149098012461613,318.4790850413318,2.4349881517455643,2.5127884326805403,0.0,38.0,6.75
109,AR25-050-017,4,338.423714964904,4.7157239255383026,310.6983173342736,2.709506186593045,3.2378403575163075,0.041416894,38.0,6.75
110,AR25-050-017,5,556.7363453188728,7.3084877420495244,319.1479283479824,3.7982037759195006,4.576934246890629,0.0,38.0,6.75
111,AR25-050-017,6,834.9946750102575,8.498491791142479,313.27386852360297,4.015990984866621,5.319259165558467,0.040580948,38.0,6.75
112,AR25-050-017,7,1183.9592261971727,10.720783312027,325.19239809684467,4.905975489065579,6.583100510538156,0.0,38.0,6.75
113,AR25-050-017,8,1567.4519469954523,11.236520203382257,323.95551741935,4.893359407864,7.2317029993170765,0.04032472,38.0,6.75
114,AR25-050-017,9,1979.8023136282188,12.506519921619276,340.39481201239136,5.562116058637759,8.431316772607987,0.0,38.0,6.75
115,AR25-050-017,10,2371.8128424180677,11.916855327342114,342.9600795401918,5.406333284260863,9.123876933295556,0.039298826,38.0,6.75
116,AR25-050-017,11,2728.7136894663718,12.032611270951783,361.2934264710636,6.041416364533257,10.530093315686974,0.0,38.0,6.75
117,AR25-050-017,12,2998.6288453692687,10.474833632097253,364.07167196169695,6.052384316453385,11.687186294086876,0.038588474,38.0,6.75
118,AR25-050-017,13,3169.275188534035,9.925380503969244,379.9876350552402,7.058328401851044,13.84087793200589,0.0,38.0,6.75
119,AR25-050-017,14,3197.37028390336,8.198467376744011,378.37179728068287,7.686999001937441,16.06947149652985,0.0,38.0,6.75
120,AR25-050-021,0,68.2914,0.4048,331.0,3.17,0.56,0.0,36.5,6.65
121,AR25-050-021,1,94.27040761273163,0.6039572114402495,336.3967306174271,1.7360609257146218,0.6462865236817064,0.0,36.5,6.65
122,AR25-050-021,2,113.78262718438677,0.9731715385736459,328.6346509508515,1.4475610890063255,1.0902904981134158,0.0,36.5,6.65
123,AR25-050-021,3,166.44488109588022,1.6289043543252402,316.81602360720575,1.538228270100168,1.7341430545260652,0.0,36.5,6.65
124,AR25-050-021,4,271.6310106600899,2.534308054847712,304.2371367552723,1.7480995671613182,2.4972728475999886,0.054313647,36.5,6.65
125,AR25-050-021,5,464.16107530308386,5.472581543807005,311.39210067301093,3.122183936255919,4.174103113121581,0.0,36.5,6.65
126,AR25-050-021,6,730.884120577474,6.847100801464976,298.3288746535438,3.445447131504743,5.17947817046615,0.052611176,36.5,6.65
127,AR25-050-021,7,1099.012513233329,9.867520162695381,307.24005963541134,4.7130916425339215,6.956801752204434,0.0,36.5,6.65
128,AR25-050-021,8,1535.63750826998,10.978595222239246,298.4657985912287,4.856179141300649,8.001994344897291,0.052249478,36.5,6.65
129,AR25-050-021,9,2046.5883979879902,13.322043111383868,312.5714364048579,5.8896428145721975,9.781899721165846,0.0,36.5,6.65
130,AR25-050-021,10,2578.723095509232,13.421467708834284,309.349465690733,5.8176519132009945,10.871300067063324,0.050883771,36.5,6.65
131,AR25-050-021,11,3119.3378034558687,14.475334864773178,327.84556812396727,6.6867676159858185,12.794242857036943,0.0,36.5,6.65
132,AR25-050-021,12,3602.360450302657,13.25846619968983,328.0284943316767,6.62448774883109,14.252645191422667,0.049853065,36.5,6.65
133,AR25-050-021,13,4007.1038245499644,13.091497278754812,347.3157411048423,7.6962542815917505,16.820487233205053,0.0,36.5,6.65
134,AR25-050-021,14,4267.290235420921,11.021245367386546,346.08438087421086,8.118767340924265,19.29271186737824,0.0,36.5,6.65
135,AR25-050-022,0,68.86365,0.829,333.0,2.75,0.86,0.0,36.5,6.65
136,AR25-050-022,1,94.61290147764952,1.0862307967149454,333.67002969522974,1.765305941699986,1.072108382225734,0.0,36.5,6.65
137,AR25-050-022,2,126.42201704010087,1.5197454622040352,325.0652968907336,1.6040215991086861,1.5607289423623842,0.0,36.5,6.65
138,AR25-050-022,3,193.612527646545,2.184934206645439,313.8633995325935,1.7094657635910167,2.202122143429368,0.0,36.5,6.65
139,AR25-050-022,4,309.52490928530057,3.0213134835147657,302.5802097558912,1.8873203255940083,2.9283291132586013,0.054017172,36.5,6.65
140,AR25-050-022,5,503.9448762287487,5.797165811461143,311.2815533591729,3.201408248152441,4.538244835576537,0.0,36.5,6.65
141,AR25-050-022,6,759.4573146335866,6.944283596479912,300.02524058569657,3.463320226012702,5.465509802763921,0.052332948,36.5,6.65
142,AR25-050-022,7,1099.478826825307,9.676004437110029,310.59073731318085,4.670098544633407,7.157609201673288,0.0,36.5,6.65
143,AR25-050-022,8,1488.671503145185,10.486699156656456,303.35697791198487,4.775523096446798,8.1305559952626,0.052252351,36.5,6.65
144,AR25-050-022,9,1931.7367557599973,12.54844538964847,318.6336964785379,5.799879512168921,9.858145015264157,0.0,36.5,6.65
145,AR25-050-022,10,2376.0768177746036,12.424471044032924,316.13361816262056,5.753581607602789,10.920865317808193,0.051163292,36.5,6.65
146,AR25-050-022,11,2811.2569579200263,13.358485048321857,335.00233685128165,6.690554389585716,12.846125142870822,0.0,36.5,6.65
147,AR25-050-022,12,3174.6147275710073,12.132731614189975,335.0931820286512,6.722211771987651,14.31804961027322,0.049845217,36.5,6.65
148,AR25-050-022,13,3449.8718996218518,12.085163766490084,354.1323465433892,7.906475752001268,16.893953457790083,0.0,36.5,6.65
149,AR25-050-022,14,3575.340650319644,10.253168905102116,352.7787843621323,8.441553458914628,19.338904286768145,0.0,36.5,6.65
150,AR25-051-001,0,68.0871,0.8448,331.99999999999994,3.15,0.86,0.0,36.5,7.1
151,AR25-051-001,1,86.93882235991559,1.7121043039113748,337.95376396384427,2.5566572428644663,1.1285425819211912,0.0,36.5,7.1
152,AR25-051-001,2,122.95900607794388,2.6934820535121675,336.27776246798703,2.6307363635574657,1.5680855790510888,0.0,36.5,7.1
153,AR25-051-001,3,200.91488301377103,3.796744947927627,332.85944566825503,2.8782319780000973,2.055615211662173,0.0,36.5,7.1
154,AR25-051-001,4,330.46077373951,4.933198933434983,329.88651760513966,3.1242767646280565,2.5219154332844367,0.053481957,36.5,7.1
155,AR25-051-001,5,537.7630045227306,7.841427553323052,346.9787536866128,4.431789483437956,3.7610603478788724,0.0,36.5,7.1
156,AR25-051-001,6,802.9285541464761,8.994541261920489,344.2981966740149,4.64488377501406,4.232141254520928,0.052335831,36.5,7.1
157,AR25-051-001,7,1148.1902089392113,11.617204441134522,363.0430510650796,5.765743147073183,5.393026182359159,0.0,36.5,7.1
158,AR25-051-001,8,1539.547023409319,12.248307565563772,363.20497287808644,5.763743089210178,5.781362040451435,0.051235034,36.5,7.1
159,AR25-051-001,9,1985.756202513256,14.08303302721767,384.3513598829292,6.65351968046795,6.879351266533865,0.0,36.5,7.1
160,AR25-051-001,10,2442.818600857636,13.815353751301664,386.6084289167124,6.499425844318183,7.320634072694147,0.049839987,36.5,7.1
161,AR25-051-001,11,2911.9346987979807,14.680045024203709,407.94396358081445,7.319054290853978,8.621544309704758,0.0,36.5,7.1
162,AR25-051-001,12,3347.3567289449347,13.601758006932522,409.02954144682593,7.27815751255291,9.521389898530224,0.048843188,36.5,7.1
163,AR25-051-001,13,3752.338504270577,13.887188920697861,426.5999966305743,8.38611776540293,11.558802283855563,0.0,36.5,7.1
164,AR25-051-001,14,4088.7017230043143,12.656087536876855,422.0994970628998,8.868298542793914,13.53637675722289,0.0,36.5,7.1
165,AR25-051-010,0,71.8281,0.4048,333.0,1.74,0.8200000000000001,0.0,36.5,6.75
166,AR25-051-010,1,41.402996883176804,0.40396739700726675,331.55753537108905,1.2757837623097856,1.0233376751283882,0.0,36.5,6.75
167,AR25-051-010,2,8.551426526715328,0.603256732523037,325.00515961196373,1.2695756516974546,1.4187456264723797,0.0,36.5,6.75
168,AR25-051-010,3,-8.224324709286428,1.0393529675992037,316.8934625870064,1.4317378830941494,1.9346613852102519,0.0,36.5,6.75
169,AR25-051-010,4,1.3373297465571101,1.6742373456165043,308.7332201547907,1.6516296904909555,2.5205700510634736,0.064145847,36.5,6.75
170,AR25-051-010,5,72.34801739066876,4.662492786141218,323.7979709728986,3.2338934339904397,4.136898571362239,0.0,36.5,6.75
171,AR25-051-010,6,187.65060536064274,5.823621332311743,314.45783218548297,3.5918099963267647,4.922208279031212,0.062778787,36.5,6.75
172,AR25-051-010,7,382.02555478858693,9.042135493475504,330.55209301682817,5.1063157817226275,6.590380569474851,0.0,36.5,6.75
173,AR25-051-010,8,622.5721967455124,10.141640984805482,324.71877293019486,5.305491184651907,7.331362608640302,0.061089974,36.5,6.75
174,AR25-051-010,9,925.5391958747659,12.873064973499416,345.06114298760326,6.5499810459322125,8.842572042451149,0.0,36.5,6.75
175,AR25-051-010,10,1240.5237420896592,13.183722546146543,344.85284089790827,6.476639414661474,9.406206449627,0.059851945,36.5,6.75
176,AR25-051-010,11,1566.2128084562173,14.803040381559727,370.2893478958119,7.442632894530923,10.740247898677422,0.0,36.5,6.75
177,AR25-051-010,12,1839.2215638124603,13.877757934626189,374.78859214284626,7.190128034151356,11.231887562918269,0.058285188,36.5,6.75
178,AR25-051-010,13,2049.025864803314,14.206674189146526,402.7400879029157,8.078580344424815,12.63028732437415,0.0,36.5,6.75
179,AR25-051-010,14,2130.7202703602948,12.216913233011724,408.20775500362856,7.959672805577244,13.427624287547355,0.0,36.5,6.75
