,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
65,AR25-064-007,5,487.9728601025425,11.138316212266583,99.62017907333284,3.893009360844542,3.892060053067589,0.0,35.0,7.1
66,AR25-064-007,6,911.3320912273944,12.644966608125001,98.99748167779244,4.120329962848242,4.45729742038241,0.051311587,35.0,7.1
67,AR25-064-007,7,1393.9639326851475,13.368766225990658,98.45121675560262,4.448009123161962,5.200332237640233,0.0,35.0,7.1
68,AR25-064-007,8,1914.0118294076315,14.309813006221576,97.4786672334833,4.705959129891141,5.755239437750043,0.050243527,35.0,7.1
69,AR25-064-007,9,2476.9648382197574,14.485323064807467,96.46754770156939,5.067193223436092,6.4511536480668275,0.0,35.0,7.1
70,AR25-064-007,10,3070.3676470604505,14.92661102135498,94.92802977558503,5.370519918818053,6.944154542551336,0.04423889,35.0,7.1
71,AR25-064-007,11,3711.687629740231,14.76444046648332,93.25173769860761,5.77707891383676,7.56082040467429,0.0,35.0,7.1
72,AR25-064-007,12,4399.345399456615,14.928659045513868,91.0231353690562,6.145332211231522,8.011510238357124,0.038696235,35.0,7.1
73,AR25-064-007,13,5157.006916888492,14.66084973529358,88.60921928749319,6.614192717284745,8.594113922610104,0.0,35.0,7.1
74,AR25-064-007,14,5988.729040852428,14.757781306809875,85.6739144709054,7.0543082860009125,9.061905823117609,0.0,35.0,7.1
75,AR25-064-009,0,75.38505,1.1377,98.7,2.93,0.75,0.0,36.5,7.1
76,AR25-064-009,1,64.31997311945761,3.9513079314269413,98.69656725074341,3.0974843138384816,1.3061508279846972,0.0,36.5,7.1
77,AR25-064-009,2,176.63291607095405,6.661657977719027,98.73837556457056,3.321474595505279,1.9928380042930047,0.0,36.5,7.1
78,AR25-064-009,3,400.8687152744366,9.18703787535561,98.73893052841954,3.6006933509806553,2.7777934606997965,0.040733198,36.5,7.1
79,AR25-064-009,4,719.0399231389622,11.085100961975979,98.57969873996696,4.039438995864868,3.7339487402083393,0.0,36.5,7.1
80,AR25-064-009,5,1136.6625660737905,13.26436838327083,97.76589106819134,4.52712783992746,4.592392199017864,0.0,35.0,7.1
81,AR25-064-009,6,1787.4003657946544,15.102830655970283,96.98565398632658,4.827269158478177,5.390365914440095,0.051314274,35.0,7.1
82,AR25-064-009,7,2500.7837964950536,15.95606800950664,96.33987072812211,5.195434670190964,6.352704483622203,0.0,35.0,7.1
83,AR25-064-009,8,3234.5017226277387,16.761904139929644,95.32378632873471,5.452193576817664,7.085965920456905,0.050253833,35.0,7.1
84,AR25-064-009,9,3971.8750126558234,16.493066445958515,94.31683021658979,5.7637625138943145,7.891317255959406,0.0,35.0,7.1
85,AR25-064-009,10,4678.582535631721,16.161956899348365,92.81505365534524,5.965590945715163,8.39914227526633,0.044270047,35.0,7.1
86,AR25-064-009,11,5352.761318300477,14.910534191077726,91.19172908057496,6.219814287622991,8.915889414970007,0.0,35.0,7.1
87,AR25-064-009,12,5978.281981305902,13.714532882685752,89.01021313940446,6.390321165111197,9.139657086320035,0.038744288,35.0,7.1
88,AR25-064-009,13,6571.057010761687,11.893315140024647,86.61711116443637,6.626247752609325,9.367023347754998,0.0,35.0,7.1
