Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-010,4,436.0413553,8.233710642,97.43923848,16.0184251,2.842804764,4.430604191,0,35,6.9
MPC25-001-010,5,880.9770471,9.336342086,96.68033712,15.90167491,3.152020363,4.45288029,0,35,6.9
MPC25-001-010,6,1292.118647,9.867575136,95.74080641,16.20352945,3.858414626,4.189471216,0.053031757,35,6.9
MPC25-001-010,7,1701.732006,10.49564728,95.04173483,16.53928933,4.553011167,3.897025403,0,35,6.9
MPC25-001-010,8,2155.108761,10.22172923,93.64629406,17.2214287,5.494493745,3.790953979,0.053633643,35,6.9
MPC25-001-010,9,2650.386805,10.23295137,92.53869163,17.51612236,6.182463008,4.038013779,0,35,6.9
MPC25-001-010,10,3213.925117,9.6815725,90.76518251,17.82326876,6.885062236,4.390721449,0.048951202,35,6.9
MPC25-001-010,11,3812.128302,9.641852638,89.21191966,17.67872401,7.195028839,4.624162348,0,35,6.9
MPC25-001-010,12,4446.480881,9.159279715,86.91173466,17.69002549,7.397944714,4.348148484,0.0438877,35,6.9
MPC25-001-010,13,5079.889543,8.986409005,84.57463332,17.55937903,7.105432084,3.471214959,0,35,6.9
MPC25-001-010,14,5723.354085,8.133567304,81.27218049,17.77712714,6.468714771,1.912621592,0,35,6.9
MPC25-001-011,0,75.02,1,98.6,15.44,0.73,2.79,0,36.5,7.1
MPC25-001-011,1,16.11164495,2.222309585,98.62958176,15.41487235,1.310586905,2.878888164,0,36.5,7.1
MPC25-001-011,2,7.281640088,3.684477669,98.67787449,15.59856925,1.968783879,3.069729147,0,36.5,7.1
MPC25-001-011,3,79.87422207,5.406236845,98.73396058,15.85500254,2.670750065,3.611050424,0.037411268,36.5,7.1
MPC25-001-011,4,270.8435769,8.023254317,99.07758549,15.8632252,3.134781091,4.489156641,0,36.5,7.1
MPC25-001-011,5,608.9195343,10.84528077,98.99610906,15.95446879,3.639946385,5.58206161,0,35,7.1
MPC25-001-011,6,1148.991768,12.47121762,98.54327116,15.86983691,4.131573907,5.788592757,0.0468399,35,7.1
MPC25-001-011,7,1685.67845,14.1859345,98.20552515,16.02894043,4.763546051,5.5532368,0,35,7.1
MPC25-001-011,8,2256.218337,14.88035419,97.11844922,16.7932111,5.822426452,5.266960617,0.04749481,35,7.1
MPC25-001-011,9,2871.837809,15.49219333,96.16174979,17.43153561,6.859251244,5.395628743,0,35,7.1
MPC25-001-011,10,3573.910169,15.3061494,94.5425459,18.11561002,8.070384834,5.970030052,0.043439271,35,7.1
MPC25-001-011,11,4344.242729,15.41144003,93.11525079,18.26542164,9.063017823,6.844734458,0,35,7.1
MPC25-001-011,12,5183.005023,15.10654816,91.07742705,18.35860633,10.10178911,7.527699796,0.039029597,35,7.1
